ABVD_code,ABVD_language,Glottolog_code,ISO6393_code,ABVD_longitude,ABVD_latitude,Pulotu_culture,Phylo_TreeTaxaName,Dplace_HRAF_name_ID,Game_ID
220,Roro,waim1251,rro,146.544,-8.67145,,,,p41;yule01
225,Taiof,sapo1253,sps,154.732,-5.64103,Buka,Taiof,,p10;p11;p8;p9;tinp03;tinp04;tinp05;tinp06;tinp07;tinp08;tinp09;tinp10;tinp11;tinp12;tinp15
233,Malay (Bahasa Indonesia),indo1316,ind,109.716,-7.33458,,MalayBahasaIndonesia,,Mala01;Mala02;Mala03;Mala04;Mala05;Mala06
237,Kayan (Uma Juman),reja1241,ree,114.169,2.71903,Kayan,KayanUmaJuman,,kaya01;kaya02;kaya03;kaya04;kaya05
238,Luangiua,onto1237,ojv,159.701,-5.49029,Ontong Java,Luangiua,,p38
245,Tokelau,toke1240,tkl,-171.780833,-9.227642,Tokelau,Tokelau,,toke01
246,Tuamotu,tuam1242,pmt,-146.321755,-16.17259,,Tuamotu,,vahi01
247,Niue,niue1239,niu,-169.86,-19.06,Niue,Niue,,niue01;niue02;niue03
253,Anuta,anut1237,aud,169.85,-11.61,Anuta,Anuta,,anut01
258,Uvea; East,wall1257,wls,-176.207,-13.2903,,UveaEast,,uvea01
264,Rapanui (Easter Island),rapa1244,rap,-109.342,-27.113,Rapa Nui,RapanuiEasterIsland,Rapa nui (OY02),p29;rapa01
277,Tagalog,taga1270,tgl,121.747,14.06,,Tagalog,,mani01;mani02;mani03;mani04;mani05;mani06;mani07;mani08;mani09;mani10;mani11;mani12;mani13;mani14;mani15;mani16;mani17;mani18;mani19
284,Sunda,sund1252,sun,107.106,-6.89708,,Sunda,,suda01;suda02;suda03;suda04;suda05;suda06;suda07;suma01;suma02;suma03;suma04;suma05
342,Mokilese,moki1238,mkj,159.776,6.65651,,Mokilese,,moki01
344,Marshallese,mars1254,mah,167.73,8.72,Marshall Islands,Marshallese,,mars01;mars02;mars03;mars04;mars05;mars06;mars07;mars08;mars09;mars10;mars11;mars12;mars14;mars15;p26
346,Kiribati,gilb1244,gil,173.64,0.179,Kiribati,Kiribati,,kiri01;kiri02;kiri03;kiri04;kiri05;kiri06;kiri07;kiri08
347,Woleaian,wole1240,woe,143.916,7.37957,Woleai (Ifaluk),Woleaian,,wole01;wole02;wole03;wole04;wole05;wole06;wole07;wole08;wole09;wole10
395,Lala,lala1268,nrz,146.749,-8.93195,,,,nara01;nara02;nara03;nara04;nara05;nara06;p6
398,Solos,solo1257,sol,154.624,-5.41042,Buka,,,p10;p11;p8;p9;tinp03;tinp04;tinp05;tinp06;tinp07;tinp08;tinp09;tinp10;tinp11;tinp12;tinp15
419,Ifugao; Amganad,amga1235,ifa,121.042,16.9016,Ifugao ,IfugaoAmganad,,ifug01
420,Ifugao; Batad,bata1298,ifb,121.23,16.8266,Ifugao ,IfugaoBatad,,ifug01
426,Itneg; Binongan,bino1237,itb,120.876,17.5972,Tinguian,ItnegBinongan,,p32;p4;ting01;ting02;ting03;ting04;ting05;ting07
447,Subanun; Sindangan,cent2089,syb,123.018,8.12701,Subanun,SubanunSindangan,,p3;suba01;suba02
448,Subanon; Siocon,west2557,suc,122.341,7.79964,Subanun,SubanonSiocon,,p3
453,Nahavaq,sout2857,sns,167.477,-16.5116,Malekula (South),Nahavaq,,male01;male02;male03;male04;male05
475,Namakir,nama1268,nmk,168.569,-16.8979,,Namakir,,129
479,Maori (1773),maor1246,mri,176.541,-38.2881,Maori,,Maori (OZ04),p24;p25
495,Bundu Dusun (Central Dusun),cent2100,dtp,116.681,6.02998,Dusun,,,dusu01;dusu02;dusu03
502,Nanggu,nang1262,ngr,165.887,-10.7441,Nendo,Nanggu,,cruz01;cruz02;cruz03
507,Melayu Sarawak (dialect),mala1479,zlm,103,1.85856,,,Malays (AN05),sara01
510,Sivisa Titan,tita1241,ttv,146.888,-2.18168,Manus (Titan),,Manus (OM06),806;827;832;manu04;manu05;manu06;manu07;manu08;manu09;manu10;manu11;manu12
512,Western Fijian (Navosa),west2519,wyy,177.657,-17.8355,,,,nabu01;nabu02;nabu03;nabu04;nabu05;nabu06;nabu07
559,Bellona,mung1270,mnv,,,Rennell and Bellona,,,p30;p31
648,Acehnese,achi1257,ace,96.6032,3.90757,,,,achi01
763,South Island Maori,sout2867,mri,,,Maori,,Maori (OZ04),p24;p25
864,Mentawai,ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
981,Mentawai (Madobat),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
982,Mentawai (Salappa),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
983,Mentawai (Ulubaga),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
984,Mentawai (Bariulou),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
985,Mentawai (Bosua),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
986,Mentawai (Sioban),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
987,Mentawai (Pasapuat),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
988,Mentawai (Silabu),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
989,Mentawai (Saumanganya),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
990,Mentawai (Boriai),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
991,Mentawai (Bulasat),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
992,Mentawai (Sikakap),ment1249,mwv,98.9401,-1.41092,Mentawai (Pagai and Sipora),,Mentawaians (OD09),Ment01
1026,Lonwolwol,lonw1238,crc,168.016,-16.2286,,,,lonw01;lonw02;lonw03;lonw04
1050,Ambae; East (Lolsiwoi),east2443,omb,167.89,-15.3523,,,,aoba01;aoba02;aoba03;aoba04;aoba05;p37
1068,Aore,aore1237,aor,167.166,-15.5753,,,,132
1116,Ambae; East (Wailengi),east2443,omb,167.89,-15.3523,,,,aoba01;aoba02;aoba03;aoba04;aoba05;p37
1137,Ambae; East (Lolomatui),east2443,omb,167.89,-15.3523,,,,aoba01;aoba02;aoba03;aoba04;aoba05
1140,Neverver,ling1265,lgk,167.499,-16.1986,,,,p37
1144,Ambae; West (Ngwatua),west2513,nnd,167.807,-15.4281,,,,aoba01;aoba02;aoba03;aoba04;aoba05;p37
1171,Sa,saaa1241,sax,168.228,-15.9534,South Pentecost,,,saaa01
1180,Ulithian,ulit1238,uli,139.603611,9.961388,Ulithi,,,ulit01;ulit02;ulit03
1190,Malagasy (Tanala),plat1254,plt,47.1211,-19.5907,Malagasy (Tanala),,,tana01;tana02;tana03;tana04
1207,Mangaia,raro1241,rar,-159.78,-21.23,,,,mang01;mang02;mang03
1377,Ponam,pona1250,ncc,146.887,-1.91705,,,,pona01;pona02
1434,Hula,hula1239,hul,147.705,-9.99427,,,,hula01;hula02;hula05;hula06;p42;p43;p44;p45
1439,Lala,lala1268,nrz,146.749,-8.93195,,,,p6
